rank,team,elo_rating,rating_date,source,source_original
83,Syria,1479,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
84,Palestine,1467,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
85,Guinea,1463,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
86,Montenegro,1460,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
87,Oman,1459,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
88,Bulgaria,1458,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
89,Northern Cyprus,1457,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
90,Luxembourg,1450,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
91,Curaçao,1434,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
92,Suriname,1431,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
92,Kazakhstan,1431,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
94,China,1428,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
94,Benin,1428,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
96,Kurdistan,1425,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
97,Qatar,1421,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
98,Libya,1420,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
99,Gambia,1419,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
100,Bahrain,1414,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
101,Gabon,1401,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
102,Uganda,1394,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
